Location,Range,Personality
2,0.76,1. Openness
2,0.94,1. Openness
2,0.86,1. Openness
2,0.7,1. Openness
2,0.94,1. Openness
2,0.66,1. Openness
2,0.9,1. Openness
2,0.78,1. Openness
2,0.54,1. Openness
2,0.78,1. Openness
2,0.7,1. Openness
2,0.96,1. Openness
2,0.58,1. Openness
2,0.6,1. Openness
2,0.56,1. Openness
2,0.86,1. Openness
2,0.84,1. Openness
2,0.7,1. Openness
2,0.74,1. Openness
2,0.78,1. Openness
2,0.88,1. Openness
2,0.62,1. Openness
2,0.7,1. Openness
2,0.86,1. Openness
2,0.76,1. Openness
2,0.84,1. Openness
2,0.94,1. Openness
2,1,1. Openness
2,0.96,1. Openness
2,0.8,1. Openness
2,0.82,1. Openness
2,0.94,1. Openness
2,0.44,1. Openness
2,0.48,1. Openness
2,0.68,1. Openness
2,0.48,1. Openness
2,0.76,1. Openness
2,0.64,1. Openness
2,0.86,1. Openness
2,0.88,1. Openness
2,0.8,1. Openness
2,0.56,1. Openness
2,0.7,1. Openness
2,0.64,1. Openness
2,0.82,1. Openness
2,0.76,1. Openness
2,0.98,1. Openness
2,0.72,1. Openness
2,0.44,1. Openness
2,0.76,1. Openness
2,0.8,1. Openness
2,0.78,1. Openness
2,0.92,1. Openness
2,0.72,1. Openness
2,0.82,1. Openness
2,0.78,1. Openness
2,0.8,1. Openness
2,0.58,1. Openness
2,0.92,1. Openness
2,0.82,1. Openness
2,0.94,1. Openness
2,0.82,1. Openness
2,0.86,1. Openness
2,0.94,1. Openness
2,0.96,1. Openness
2,0.82,1. Openness
2,0.76,1. Openness
2,0.9,1. Openness
2,0.84,1. Openness
2,0.56,1. Openness
2,0.82,1. Openness
2,0.96,1. Openness
2,0.68,1. Openness
2,0.84,1. Openness
2,0.84,1. Openness
2,0.36,1. Openness
2,0.98,1. Openness
2,0.96,1. Openness
2,0.58,1. Openness
2,0.7,1. Openness
2,0.76,1. Openness
2,0.82,1. Openness
2,0.72,1. Openness
2,0.76,1. Openness
2,0.46,1. Openness
2,0.56,1. Openness
2,0.84,1. Openness
2,0.98,1. Openness
2,0.52,1. Openness
2,0.64,1. Openness
3,0.7,1. Openness
3,0.74,1. Openness
3,0.94,1. Openness
4,0.7,1. Openness
4,0.72,1. Openness
4,0.66,1. Openness
5,0.66,1. Openness
5,0.74,1. Openness
5,0.86,1. Openness
5,0.84,1. Openness
5,0.78,1. Openness
5,0.74,1. Openness
5,0.9,1. Openness
5,0.86,1. Openness
5,0.78,1. Openness
5,0.82,1. Openness
5,0.96,1. Openness
5,0.72,1. Openness
5,0.68,1. Openness
5,0.64,1. Openness
5,0.82,1. Openness
5,0.86,1. Openness
5,0.8,1. Openness
5,0.78,1. Openness
5,0.96,1. Openness
5,0.72,1. Openness
5,0.9,1. Openness
5,0.98,1. Openness
5,0.88,1. Openness
5,0.72,1. Openness
5,0.84,1. Openness
5,0.78,1. Openness
5,0.74,1. Openness
5,0.9,1. Openness
5,0.74,1. Openness
5,0.8,1. Openness
5,0.92,1. Openness
6,0.8,1. Openness
6,0.7,1. Openness
6,0.76,1. Openness
6,0.76,1. Openness
7,0.64,1. Openness
7,0.9,1. Openness
7,0.7,1. Openness
7,0.98,1. Openness
8,0.92,1. Openness
8,0.8,1. Openness
8,0.88,1. Openness
8,0.58,1. Openness
8,0.8,1. Openness
8,0.88,1. Openness
8,0.94,1. Openness
8,0.78,1. Openness
8,0.56,1. Openness
8,0.98,1. Openness
8,0.86,1. Openness
8,0.88,1. Openness
8,0.92,1. Openness
8,0.9,1. Openness
8,0.88,1. Openness
8,0.92,1. Openness
8,0.96,1. Openness
8,1,1. Openness
8,0.8,1. Openness
8,0.9,1. Openness
8,0.68,1. Openness
8,0.82,1. Openness
8,0.96,1. Openness
8,0.9,1. Openness
8,0.82,1. Openness
8,0.94,1. Openness
8,0.92,1. Openness
8,0.88,1. Openness
8,0.86,1. Openness
8,0.96,1. Openness
8,0.8,1. Openness
8,0.88,1. Openness
8,0.68,1. Openness
8,1,1. Openness
8,0.72,1. Openness
8,0.8,1. Openness
8,0.9,1. Openness
8,0.84,1. Openness
8,0.86,1. Openness
8,0.64,1. Openness
8,0.84,1. Openness
8,0.84,1. Openness
8,0.84,1. Openness
8,0.96,1. Openness
8,0.96,1. Openness
8,0.86,1. Openness
8,0.96,1. Openness
8,0.88,1. Openness
8,0.84,1. Openness
8,0.66,1. Openness
8,0.56,1. Openness
8,1,1. Openness
8,0.8,1. Openness
8,0.94,1. Openness
8,0.68,1. Openness
8,0.92,1. Openness
8,0.78,1. Openness
8,1,1. Openness
8,0.86,1. Openness
8,0.76,1. Openness
8,0.92,1. Openness
8,0.7,1. Openness
8,0.86,1. Openness
8,0.78,1. Openness
8,0.66,1. Openness
8,0.96,1. Openness
8,0.72,1. Openness
8,0.72,1. Openness
8,0.8,1. Openness
8,0.82,1. Openness
8,0.88,1. Openness
8,0.96,1. Openness
8,0.92,1. Openness
8,0.88,1. Openness
8,0.9,1. Openness
8,0.96,1. Openness
8,0.86,1. Openness
8,0.96,1. Openness
8,0.7,1. Openness
8,0.76,1. Openness
8,0.98,1. Openness
8,0.86,1. Openness
8,0.72,1. Openness
8,0.7,1. Openness
8,0.8,1. Openness
8,0.66,1. Openness
8,0.92,1. Openness
8,0.78,1. Openness
8,0.86,1. Openness
8,0.94,1. Openness
8,0.8,1. Openness
8,0.88,1. Openness
8,0.72,1. Openness
8,0.86,1. Openness
8,0.78,1. Openness
8,0.78,1. Openness
8,0.68,1. Openness
8,0.7,1. Openness
8,0.9,1. Openness
8,0.68,1. Openness
8,0.7,1. Openness
8,0.76,1. Openness
8,0.9,1. Openness
8,0.9,1. Openness
8,0.76,1. Openness
8,0.8,1. Openness
8,0.8,1. Openness
8,0.7,1. Openness
8,0.9,1. Openness
8,0.96,1. Openness
8,0.7,1. Openness
8,0.68,1. Openness
8,0.62,1. Openness
8,0.72,1. Openness
8,0.86,1. Openness
8,0.88,1. Openness
8,0.78,1. Openness
8,0.6,1. Openness
8,0.9,1. Openness
8,0.78,1. Openness
8,0.96,1. Openness
8,0.9,1. Openness
8,0.8,1. Openness
8,0.92,1. Openness
8,0.68,1. Openness
8,0.84,1. Openness
8,0.72,1. Openness
8,0.7,1. Openness
8,0.82,1. Openness
8,0.78,1. Openness
8,0.88,1. Openness
8,0.98,1. Openness
8,0.74,1. Openness
8,0.54,1. Openness
8,0.82,1. Openness
8,0.64,1. Openness
8,0.74,1. Openness
8,0.72,1. Openness
8,0.7,1. Openness
8,0.66,1. Openness
8,0.7,1. Openness
8,0.92,1. Openness
8,0.84,1. Openness
8,0.8,1. Openness
8,0.88,1. Openness
8,0.84,1. Openness
8,0.94,1. Openness
8,0.6,1. Openness
8,0.86,1. Openness
8,0.84,1. Openness
8,0.84,1. Openness
8,0.76,1. Openness
8,0.84,1. Openness
8,0.88,1. Openness
8,0.74,1. Openness
8,0.8,1. Openness
8,0.9,1. Openness
8,0.58,1. Openness
8,0.82,1. Openness
8,0.9,1. Openness
8,0.66,1. Openness
8,0.66,1. Openness
8,0.68,1. Openness
8,0.68,1. Openness
8,0.82,1. Openness
8,0.76,1. Openness
8,0.86,1. Openness
8,0.78,1. Openness
8,0.9,1. Openness
8,0.64,1. Openness
8,0.78,1. Openness
8,0.82,1. Openness
8,0.84,1. Openness
8,0.92,1. Openness
8,0.92,1. Openness
8,0.74,1. Openness
8,0.78,1. Openness
8,0.88,1. Openness
8,0.82,1. Openness
8,0.84,1. Openness
8,0.58,1. Openness
8,0.7,1. Openness
8,0.88,1. Openness
8,0.72,1. Openness
8,0.84,1. Openness
8,0.92,1. Openness
8,0.94,1. Openness
8,0.8,1. Openness
8,0.64,1. Openness
8,0.88,1. Openness
8,0.82,1. Openness
8,0.68,1. Openness
8,0.94,1. Openness
8,0.86,1. Openness
8,0.82,1. Openness
8,0.86,1. Openness
8,0.72,1. Openness
8,0.94,1. Openness
8,0.84,1. Openness
8,0.88,1. Openness
8,1,1. Openness
8,0.82,1. Openness
8,1,1. Openness
8,0.7,1. Openness
8,0.82,1. Openness
8,0.8,1. Openness
8,0.8,1. Openness
8,0.92,1. Openness
8,0.82,1. Openness
8,0.82,1. Openness
8,0.88,1. Openness
8,0.72,1. Openness
8,0.74,1. Openness
8,0.96,1. Openness
8,0.92,1. Openness
8,0.74,1. Openness
8,0.78,1. Openness
8,0.78,1. Openness
8,0.72,1. Openness
8,0.72,1. Openness
8,0.86,1. Openness
8,0.86,1. Openness
8,0.92,1. Openness
8,0.88,1. Openness
8,1,1. Openness
8,0.94,1. Openness
8,0.88,1. Openness
8,0.62,1. Openness
8,0.8,1. Openness
8,0.84,1. Openness
8,0.68,1. Openness
8,0.7,1. Openness
8,0.54,1. Openness
8,0.86,1. Openness
8,0.9,1. Openness
8,0.86,1. Openness
8,0.62,1. Openness
8,0.7,1. Openness
8,0.76,1. Openness
8,0.82,1. Openness
8,0.68,1. Openness
8,0.76,1. Openness
8,0.74,1. Openness
8,0.72,1. Openness
8,0.8,1. Openness
8,0.78,1. Openness
8,0.94,1. Openness
8,0.82,1. Openness
8,0.84,1. Openness
8,0.68,1. Openness
8,0.82,1. Openness
8,0.84,1. Openness
8,0.98,1. Openness
8,0.9,1. Openness
8,1,1. Openness
8,0.8,1. Openness
8,0.98,1. Openness
8,0.88,1. Openness
8,0.72,1. Openness
8,0.8,1. Openness
8,0.86,1. Openness
8,0.78,1. Openness
8,0.66,1. Openness
8,0.76,1. Openness
8,0.82,1. Openness
8,0.78,1. Openness
8,0.88,1. Openness
8,0.92,1. Openness
8,0.72,1. Openness
8,0.78,1. Openness
8,0.8,1. Openness
8,0.76,1. Openness
8,0.88,1. Openness
8,0.84,1. Openness
8,0.5,1. Openness
8,0.76,1. Openness
8,0.78,1. Openness
8,0.82,1. Openness
8,0.66,1. Openness
8,0.84,1. Openness
8,0.74,1. Openness
8,0.72,1. Openness
8,0.72,1. Openness
8,0.78,1. Openness
8,0.78,1. Openness
8,0.66,1. Openness
8,0.74,1. Openness
8,0.68,1. Openness
8,0.76,1. Openness
8,0.84,1. Openness
8,0.78,1. Openness
8,0.6,1. Openness
8,0.7,1. Openness
8,0.78,1. Openness
8,0.96,1. Openness
8,0.92,1. Openness
8,0.8,1. Openness
8,0.84,1. Openness
8,0.74,1. Openness
8,0.68,1. Openness
8,0.82,1. Openness
8,0.74,1. Openness
8,0.94,1. Openness
8,0.72,1. Openness
8,0.72,1. Openness
8,0.8,1. Openness
8,0.74,1. Openness
8,0.72,1. Openness
8,0.92,1. Openness
8,0.86,1. Openness
8,0.6,1. Openness
8,0.78,1. Openness
8,0.86,1. Openness
8,0.72,1. Openness
8,0.82,1. Openness
8,0.66,1. Openness
8,0.62,1. Openness
8,0.84,1. Openness
8,0.76,1. Openness
8,0.92,1. Openness
8,0.7,1. Openness
8,0.84,1. Openness
8,0.72,1. Openness
8,0.56,1. Openness
8,0.9,1. Openness
8,0.64,1. Openness
8,0.9,1. Openness
8,0.86,1. Openness
8,0.92,1. Openness
8,0.76,1. Openness
8,0.92,1. Openness
8,0.92,1. Openness
8,0.8,1. Openness
8,0.38,1. Openness
8,0.72,1. Openness
8,0.84,1. Openness
8,0.78,1. Openness
8,0.78,1. Openness
8,0.92,1. Openness
8,0.74,1. Openness
8,0.76,1. Openness
8,0.68,1. Openness
8,0.72,1. Openness
8,0.86,1. Openness
8,0.78,1. Openness
8,0.84,1. Openness
8,0.84,1. Openness
8,0.76,1. Openness
8,0.9,1. Openness
8,0.92,1. Openness
8,0.76,1. Openness
8,1,1. Openness
8,0.68,1. Openness
8,0.8,1. Openness
8,0.76,1. Openness
8,0.74,1. Openness
8,0.66,1. Openness
8,0.74,1. Openness
8,0.6,1. Openness
8,0.68,1. Openness
8,0.72,1. Openness
8,0.58,1. Openness
8,0.72,1. Openness
8,0.76,1. Openness
8,0.64,1. Openness
8,0.86,1. Openness
8,0.8,1. Openness
8,0.7,1. Openness
8,0.78,1. Openness
8,0.82,1. Openness
8,0.8,1. Openness
8,0.88,1. Openness
8,0.78,1. Openness
8,0.7,1. Openness
8,0.76,1. Openness
8,0.66,1. Openness
8,0.82,1. Openness
8,0.84,1. Openness
8,0.72,1. Openness
8,0.96,1. Openness
8,0.58,1. Openness
8,0.76,1. Openness
8,0.98,1. Openness
8,0.8,1. Openness
8,0.78,1. Openness
8,0.78,1. Openness
8,0.8,1. Openness
8,0.7,1. Openness
8,0.66,1. Openness
8,0.86,1. Openness
8,0.78,1. Openness
8,0.9,1. Openness
8,0.72,1. Openness
8,0.98,1. Openness
8,0.44,1. Openness
8,0.7,1. Openness
8,0.78,1. Openness
8,0.86,1. Openness
8,0.66,1. Openness
8,0.7,1. Openness
8,0.68,1. Openness
8,0.94,1. Openness
8,0.76,1. Openness
8,0.98,1. Openness
8,0.9,1. Openness
8,0.58,1. Openness
8,0.82,1. Openness
8,0.7,1. Openness
8,0.82,1. Openness
8,0.58,1. Openness
8,0.76,1. Openness
8,0.74,1. Openness
8,0.76,1. Openness
8,0.74,1. Openness
8,0.64,1. Openness
8,0.74,1. Openness
8,0.82,1. Openness
8,0.84,1. Openness
8,0.84,1. Openness
8,0.88,1. Openness
8,0.86,1. Openness
8,0.84,1. Openness
8,0.84,1. Openness
8,1,1. Openness
8,0.78,1. Openness
8,0.86,1. Openness
8,0.74,1. Openness
8,0.56,1. Openness
8,0.66,1. Openness
8,0.88,1. Openness
8,0.9,1. Openness
8,0.74,1. Openness
8,0.68,1. Openness
8,0.86,1. Openness
8,0.58,1. Openness
8,0.62,1. Openness
8,0.68,1. Openness
8,0.78,1. Openness
8,0.62,1. Openness
8,0.92,1. Openness
8,0.7,1. Openness
8,0.84,1. Openness
8,0.6,1. Openness
8,0.88,1. Openness
8,0.56,1. Openness
8,0.98,1. Openness
8,0.88,1. Openness
8,0.66,1. Openness
8,0.8,1. Openness
8,0.88,1. Openness
8,0.8,1. Openness
8,0.84,1. Openness
8,0.94,1. Openness
8,0.84,1. Openness
8,0.66,1. Openness
8,0.76,1. Openness
8,0.74,1. Openness
8,0.52,1. Openness
8,0.86,1. Openness
8,0.76,1. Openness
8,0.7,1. Openness
8,0.66,1. Openness
8,0.72,1. Openness
8,0.84,1. Openness
8,0.92,1. Openness
8,0.86,1. Openness
8,0.94,1. Openness
8,0.84,1. Openness
8,0.84,1. Openness
8,0.98,1. Openness
8,0.72,1. Openness
8,0.82,1. Openness
8,0.74,1. Openness
8,0.86,1. Openness
8,0.72,1. Openness
8,0.9,1. Openness
8,0.78,1. Openness
8,0.84,1. Openness
8,0.82,1. Openness
8,0.74,1. Openness
8,0.48,1. Openness
8,0.58,1. Openness
8,0.54,1. Openness
8,0.68,1. Openness
8,0.68,1. Openness
8,0.96,1. Openness
8,0.88,1. Openness
8,0.76,1. Openness
8,0.84,1. Openness
8,0.78,1. Openness
8,0.56,1. Openness
8,0.68,1. Openness
8,0.96,1. Openness
8,0.72,1. Openness
8,0.26,1. Openness
8,0.84,1. Openness
8,1,1. Openness
8,0.9,1. Openness
8,0.48,1. Openness
8,0.66,1. Openness
8,0.94,1. Openness
8,0.74,1. Openness
8,0.68,1. Openness
8,0.8,1. Openness
8,0.82,1. Openness
8,0.96,1. Openness
8,0.98,1. Openness
8,0.96,1. Openness
8,0.84,1. Openness
8,0.94,1. Openness
8,0.7,1. Openness
8,0.72,1. Openness
8,1,1. Openness
8,0.74,1. Openness
8,0.76,1. Openness
8,0.64,1. Openness
8,0.92,1. Openness
8,0.78,1. Openness
8,0.8,1. Openness
8,0.7,1. Openness
8,0.62,1. Openness
8,0.54,1. Openness
8,0.8,1. Openness
8,0.8,1. Openness
8,0.7,1. Openness
8,0.56,1. Openness
8,0.88,1. Openness
8,0.96,1. Openness
8,0.68,1. Openness
8,0.68,1. Openness
8,0.68,1. Openness
8,0.8,1. Openness
8,0.86,1. Openness
8,0.72,1. Openness
8,0.82,1. Openness
8,0.68,1. Openness
8,0.48,1. Openness
8,0.8,1. Openness
8,0.76,1. Openness
8,0.98,1. Openness
8,0.76,1. Openness
8,0.68,1. Openness
8,0.94,1. Openness
8,0.48,1. Openness
8,0.88,1. Openness
8,0.74,1. Openness
8,0.56,1. Openness
8,0.74,1. Openness
8,0.74,1. Openness
8,0.84,1. Openness
8,0.84,1. Openness
8,0.78,1. Openness
8,1,1. Openness
8,0.54,1. Openness
8,1,1. Openness
8,0.9,1. Openness
8,0.84,1. Openness
8,0.72,1. Openness
8,0.82,1. Openness
8,0.96,1. Openness
8,0.74,1. Openness
8,0.9,1. Openness
8,0.8,1. Openness
8,0.8,1. Openness
8,0.86,1. Openness
8,0.96,1. Openness
8,0.72,1. Openness
8,1,1. Openness
8,0.98,1. Openness
9,0.72,1. Openness
9,0.8,1. Openness
9,0.74,1. Openness
9,0.76,1. Openness
9,1,1. Openness
9,0.88,1. Openness
9,0.7,1. Openness
9,0.92,1. Openness
9,0.98,1. Openness
9,0.92,1. Openness
9,0.98,1. Openness
9,0.92,1. Openness
9,0.88,1. Openness
9,0.8,1. Openness
9,0.8,1. Openness
9,0.96,1. Openness
9,0.92,1. Openness
9,0.82,1. Openness
9,0.78,1. Openness
9,0.96,1. Openness
9,0.98,1. Openness
9,0.98,1. Openness
9,0.86,1. Openness
9,0.92,1. Openness
9,0.96,1. Openness
9,0.9,1. Openness
9,0.98,1. Openness
9,0.88,1. Openness
9,0.88,1. Openness
9,0.86,1. Openness
9,0.66,1. Openness
9,0.92,1. Openness
9,0.68,1. Openness
9,0.78,1. Openness
9,0.96,1. Openness
9,0.68,1. Openness
9,0.84,1. Openness
9,0.78,1. Openness
9,0.86,1. Openness
9,0.9,1. Openness
9,0.9,1. Openness
9,0.82,1. Openness
9,0.94,1. Openness
9,0.84,1. Openness
9,0.84,1. Openness
9,1,1. Openness
9,0.82,1. Openness
9,0.78,1. Openness
9,0.92,1. Openness
9,0.78,1. Openness
9,0.86,1. Openness
9,0.94,1. Openness
9,1,1. Openness
9,0.8,1. Openness
9,1,1. Openness
9,0.88,1. Openness
9,0.9,1. Openness
9,0.9,1. Openness
9,0.54,1. Openness
9,1,1. Openness
9,0.84,1. Openness
9,0.92,1. Openness
9,0.76,1. Openness
9,0.94,1. Openness
9,0.84,1. Openness
9,0.7,1. Openness
9,0.86,1. Openness
9,0.74,1. Openness
9,0.94,1. Openness
9,0.86,1. Openness
9,0.68,1. Openness
9,0.92,1. Openness
9,0.68,1. Openness
9,0.8,1. Openness
9,0.92,1. Openness
9,0.64,1. Openness
9,0.82,1. Openness
9,0.88,1. Openness
9,0.92,1. Openness
9,0.9,1. Openness
9,0.92,1. Openness
9,0.96,1. Openness
9,0.86,1. Openness
9,0.8,1. Openness
9,0.7,1. Openness
9,0.74,1. Openness
9,0.94,1. Openness
9,1,1. Openness
9,0.68,1. Openness
9,0.9,1. Openness
9,0.6,1. Openness
9,0.98,1. Openness
9,0.84,1. Openness
9,0.94,1. Openness
9,0.88,1. Openness
9,0.98,1. Openness
9,0.92,1. Openness
9,0.74,1. Openness
9,0.78,1. Openness
9,0.74,1. Openness
9,0.74,1. Openness
9,0.7,1. Openness
9,0.86,1. Openness
9,0.92,1. Openness
9,0.88,1. Openness
9,0.88,1. Openness
9,0.72,1. Openness
9,0.82,1. Openness
9,0.62,1. Openness
9,0.56,1. Openness
9,0.88,1. Openness
9,0.94,1. Openness
9,0.88,1. Openness
9,0.88,1. Openness
9,0.78,1. Openness
9,0.96,1. Openness
9,0.84,1. Openness
9,0.94,1. Openness
9,0.96,1. Openness
9,0.76,1. Openness
9,0.52,1. Openness
9,0.84,1. Openness
9,0.92,1. Openness
9,0.88,1. Openness
9,0.64,1. Openness
9,0.94,1. Openness
9,0.92,1. Openness
9,0.8,1. Openness
9,0.74,1. Openness
9,0.92,1. Openness
9,1,1. Openness
9,0.86,1. Openness
9,0.78,1. Openness
9,1,1. Openness
9,0.72,1. Openness
9,0.58,1. Openness
9,0.82,1. Openness
9,0.82,1. Openness
9,1,1. Openness
9,0.66,1. Openness
9,0.8,1. Openness
9,0.66,1. Openness
9,0.86,1. Openness
9,0.78,1. Openness
9,0.82,1. Openness
9,0.82,1. Openness
9,0.78,1. Openness
9,0.68,1. Openness
9,0.96,1. Openness
9,0.88,1. Openness
9,0.88,1. Openness
9,0.58,1. Openness
9,1,1. Openness
9,0.88,1. Openness
9,0.7,1. Openness
9,0.88,1. Openness
9,0.92,1. Openness
9,0.9,1. Openness
9,0.7,1. Openness
9,0.78,1. Openness
9,0.78,1. Openness
9,0.7,1. Openness
9,0.72,1. Openness
9,0.84,1. Openness
9,0.68,1. Openness
9,0.8,1. Openness
9,0.78,1. Openness
9,0.88,1. Openness
9,0.84,1. Openness
9,0.8,1. Openness
9,0.74,1. Openness
9,0.86,1. Openness
9,0.82,1. Openness
9,0.84,1. Openness
9,0.62,1. Openness
9,0.82,1. Openness
9,0.96,1. Openness
9,0.76,1. Openness
9,0.84,1. Openness
9,0.94,1. Openness
9,0.72,1. Openness
9,0.56,1. Openness
9,0.76,1. Openness
9,0.92,1. Openness
9,0.86,1. Openness
9,0.92,1. Openness
9,0.64,1. Openness
9,0.94,1. Openness
9,0.86,1. Openness
9,0.76,1. Openness
9,0.8,1. Openness
9,0.86,1. Openness
9,0.92,1. Openness
9,0.82,1. Openness
9,0.8,1. Openness
9,0.78,1. Openness
9,0.76,1. Openness
9,0.76,1. Openness
9,0.8,1. Openness
9,0.84,1. Openness
9,0.68,1. Openness
9,0.78,1. Openness
9,0.66,1. Openness
9,1,1. Openness
9,0.78,1. Openness
9,0.94,1. Openness
9,0.74,1. Openness
9,0.84,1. Openness
9,0.72,1. Openness
9,0.86,1. Openness
9,0.76,1. Openness
9,0.82,1. Openness
9,0.96,1. Openness
9,0.94,1. Openness
9,0.88,1. Openness
9,0.98,1. Openness
9,0.8,1. Openness
9,0.96,1. Openness
9,0.84,1. Openness
9,0.7,1. Openness
9,0.58,1. Openness
9,0.8,1. Openness
9,0.96,1. Openness
9,0.84,1. Openness
9,0.56,1. Openness
9,0.72,1. Openness
9,0.98,1. Openness
9,0.88,1. Openness
9,0.74,1. Openness
9,1,1. Openness
9,0.94,1. Openness
9,0.9,1. Openness
9,0.9,1. Openness
9,0.94,1. Openness
9,0.9,1. Openness
9,0.96,1. Openness
9,0.82,1. Openness
9,0.86,1. Openness
9,0.74,1. Openness
9,0.9,1. Openness
9,0.62,1. Openness
9,0.84,1. Openness
9,0.8,1. Openness
9,0.74,1. Openness
9,0.94,1. Openness
9,0.78,1. Openness
9,0.94,1. Openness
9,0.76,1. Openness
9,0.86,1. Openness
9,0.7,1. Openness
9,0.68,1. Openness
9,0.76,1. Openness
9,0.9,1. Openness
9,1,1. Openness
9,0.92,1. Openness
9,0.96,1. Openness
9,0.82,1. Openness
9,0.72,1. Openness
9,0.84,1. Openness
9,0.88,1. Openness
9,0.96,1. Openness
9,0.88,1. Openness
9,0.82,1. Openness
9,0.74,1. Openness
9,0.94,1. Openness
9,0.76,1. Openness
9,0.82,1. Openness
9,0.8,1. Openness
9,0.68,1. Openness
9,0.66,1. Openness
9,0.8,1. Openness
9,0.84,1. Openness
9,0.82,1. Openness
9,0.76,1. Openness
9,0.88,1. Openness
9,0.86,1. Openness
9,0.66,1. Openness
9,0.92,1. Openness
9,0.76,1. Openness
9,0.84,1. Openness
9,0.98,1. Openness
9,0.84,1. Openness
9,0.96,1. Openness
9,0.88,1. Openness
9,0.62,1. Openness
9,0.82,1. Openness
9,0.86,1. Openness
9,1,1. Openness
9,0.74,1. Openness
9,0.98,1. Openness
9,0.9,1. Openness
9,0.94,1. Openness
9,0.9,1. Openness
9,0.82,1. Openness
9,0.7,1. Openness
9,0.84,1. Openness
9,0.68,1. Openness
9,0.96,1. Openness
9,0.98,1. Openness
